ci_tenant_dmn.m_orgnztn_guid,ci_tenant_dmn.m_org_nm,ci_tenant_dmn.m_org_ci_tenant_id,ci_tenant_dmn.m_org_original_id,ci_tenant_dmn.dw_insert_datetime,ci_tenant_dmn.is_active,ci_tenant_dmn.tenant_type
477e0fcf-fcea-4abf-9e7f-db691f644d85,Ephox,100074,0010Z000029ZvCgQAK,2021-03-03 22:41:42.0,N,Self
c2aa39e1-3de4-4669-a7cb-23cc478961bb,Inc. Media (Manseuto Ventures LLC),17004,0013100001rDzofAAC,2021-03-03 22:41:42.0,N,Enterprise
6b28beb6-0cf9-419b-8d37-e66a979d0d74,GE,16011,0013100001ehHdsAAE,2021-03-03 22:41:42.0,N,Enterprise
8d886c61-28ae-4a74-b75f-62f71dbc701c,Collective Intelligence,100040,0010Z0000257um8QAA,2021-03-03 22:41:42.0,Y,Intelligence
a721349a-9538-4cf4-8904-df890c38b804,Centrify,17054,0010Z00002CxJvwQAF,2021-03-03 22:41:42.0,N,Enterprise
b7544b08-d144-405e-abe9-b080315c9616,Berry Network,100118,0013r00002KhAOYAA3,2021-03-03 22:41:42.0,Y,Intelligence
daecca97-30d0-4e32-9b89-fe75a7752739,Collective Intelligence,100061,0010Z000029DujuQAC,2021-03-03 22:41:42.0,Y,Intelligence
70a5bdeb-a7fa-460e-8122-322f86703e3c,ABB Information Systems,100124,0013r00002MxJD8AAN,2021-03-03 22:41:42.0,N,Self
c24173be-01dd-4d8c-ba10-0278a68bd0de,Collective Intelligence,100084,0010Z00002AFZi8QAH,2021-03-03 22:41:42.0,Y,Intelligence
713ff1fb-4984-4714-84b6-fcf2ce2c9d2f,MTS,15001,0011600001tsWMQAA2,2021-03-03 22:41:42.0,N,Enterprise
92d1d3f1-0921-4bf8-9199-232ecc04c0eb,OAuth,100108,0013r00002I1lczAAB,2021-03-03 22:41:42.0,Y,Intelligence
fe7011ee-56d2-4828-91d2-ad4bc19c2464,"N3, LLC",17013,0010Z00001wfEjMQAU,2021-03-03 22:41:42.0,N,Enterprise
c2ae0687-134f-484e-ba05-13562338f989,Online Tech,100009,0010Z00001xsZDFQA2,2021-03-03 22:41:42.0,N,Self
0a79b46f-cb9d-4f59-8737-be318f457670,Walgreens,100060,0010Z000029DkNFQA0,2021-03-03 22:41:42.0,Y,Intelligence
aa634437-63b7-4ce3-b926-072ac24a8a73,MxD,17062,0013r00002EpqSaAAJ,2021-03-03 22:41:42.0,Y,Enterprise
80eef217-1490-45df-bb86-286f17b820b5,"LogicGate, Inc.",100055,0010Z000027ABX5QAO,2021-03-03 22:41:42.0,N,Self
f3cb5e4d-4575-4df3-9406-4131f69d3ddf,Progeny.nyc,100030,0010Z000022zkoIQAQ,2021-03-03 22:41:42.0,Y,Intelligence
254c0d0f-fcfa-46b0-a925-22683c90a419,"NewsCred, Inc.",17024,0010Z000025dsYaQAI,2021-03-03 22:41:42.0,N,Enterprise
b8bb20a7-bf71-425a-b362-f53dcad75f2b,West Corporation,100008,0010Z00001xqqFOQAY,2021-03-03 22:41:42.0,N,Self
c1f385a7-80d8-4adc-ada2-96893a668629,Belgium,100016,0010Z000023G2RUQA0,2021-03-03 22:41:42.0,Y,Intelligence
