revenue_date,revenue,dw_cid,pred_date
2020-05-21,10554.7078977642,17048,2020-02-14
2020-05-22,10554.7078977642,17048,2020-02-14
2020-05-23,10554.7078977642,17048,2020-02-14
2020-05-24,10554.7078977642,17048,2020-02-14
2020-05-25,10554.7078977642,17048,2020-02-14
2020-05-26,10554.7078977642,17048,2020-02-14
2020-05-27,10554.7078977642,17048,2020-02-14
2020-05-28,10554.7078977642,17048,2020-02-14
2020-05-29,10554.7078977642,17048,2020-02-14
2020-05-30,10554.7078977642,17048,2020-02-14
2020-05-31,10554.7078977642,17048,2020-02-14
2020-06-01,80576.24114833822,17048,2020-02-14
2020-06-02,80576.24114833822,17048,2020-02-14
2020-06-03,80576.24114833822,17048,2020-02-14
2020-06-04,80576.24114833822,17048,2020-02-14
2020-06-05,80576.24114833822,17048,2020-02-14
2020-06-06,80576.24114833822,17048,2020-02-14
2020-06-07,80576.24114833822,17048,2020-02-14
2020-06-08,80576.24114833822,17048,2020-02-14
2020-06-09,80576.24114833822,17048,2020-02-14
2020-06-10,80576.24114833822,17048,2020-02-14
2020-06-11,80576.24114833822,17048,2020-02-14
2020-06-12,80576.24114833822,17048,2020-02-14
2020-06-13,80576.24114833822,17048,2020-02-14
2020-06-14,80576.24114833822,17048,2020-02-14
2020-06-15,80576.24114833822,17048,2020-02-14
2020-06-16,80576.24114833822,17048,2020-02-14
2020-06-17,80576.24114833822,17048,2020-02-14
2020-06-18,80576.24114833822,17048,2020-02-14
2020-06-19,80576.24114833822,17048,2020-02-14
2020-06-20,80576.24114833822,17048,2020-02-14
2020-06-21,80576.24114833822,17048,2020-02-14
2020-06-22,80576.24114833822,17048,2020-02-14
2020-06-23,80576.24114833822,17048,2020-02-14
2020-06-24,80576.24114833822,17048,2020-02-14
2020-06-25,80576.24114833822,17048,2020-02-14
2020-06-26,80576.24114833822,17048,2020-02-14
2020-06-27,80576.24114833822,17048,2020-02-14
2020-06-28,80576.24114833822,17048,2020-02-14
2020-06-29,80576.24114833822,17048,2020-02-14
2020-06-30,80576.24114833822,17048,2020-02-14
2020-07-01,917.8514992542632,17048,2020-02-14
2020-07-02,917.8514992542632,17048,2020-02-14
2020-07-03,917.8514992542632,17048,2020-02-14
2020-07-04,917.8514992542632,17048,2020-02-14
2020-07-05,917.8514992542632,17048,2020-02-14
2020-07-06,917.8514992542632,17048,2020-02-14
2020-07-07,917.8514992542632,17048,2020-02-14
2020-07-08,917.8514992542632,17048,2020-02-14
2020-07-09,917.8514992542632,17048,2020-02-14
2020-07-10,917.8514992542632,17048,2020-02-14
2020-07-11,917.8514992542632,17048,2020-02-14
2020-07-12,917.8514992542632,17048,2020-02-14
2020-07-13,917.8514992542632,17048,2020-02-14
2020-07-14,917.8514992542632,17048,2020-02-14
2020-07-15,917.8514992542632,17048,2020-02-14
2020-07-16,917.8514992542632,17048,2020-02-14
2020-07-17,917.8514992542632,17048,2020-02-14
2020-07-18,917.8514992542632,17048,2020-02-14
